?????;??????? ?????;???? ?????;????? ??;????? ??
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;11 4200000;11 4209999;3.1.2018;3.1.2028
JP Pošta Srbije Beograd - RADNA JEDINICA POŠTA NET;11 4210000;11 4219999;1.2.2016;1.2.2026
SOFTNET;11 4220000;11 4229999;1.8.2015;1.8.2025
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;11 4230000;11 4230999;6.1.2015;6.1.2025
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;11 4231000;11 4239999;12.11.2018;12.11.2028
SAT-TRAKT;11 4240000;11 4240999;5.5.2014;5.5.2024
BPP ING;11 4242000;11 4242999;15.1.2016;15.1.2026
BEOTELNET-ISP;11 4250000;11 4259999;1.8.2014;1.8.2024
KOPERNIKUS TECHNOLOGY;11 4270000;11 4270999;15.7.2014;15.7.2024
RADIJUS VEKTOR;11 4280000;11 4281999;1.10.2014;1.10.2019
RADIJUS VEKTOR;11 4282000;11 4289999;20.7.2017;20.7.2022
MASKO;11 4290000;11 4291999;1.6.2015;1.6.2020
DETEL.COM;11 4300000;11 4300999;1.4.2016;1.4.2026
DETEL.COM;11 4301000;11 4301999;5.2.2018;5.2.2028
NETLOGIC;11 4320000;11 4320999;15.8.2016;15.8.2026
ASTRA TELEKOM;11 4330000;11 4331999;18.4.2017;18.4.2027
TRUF;11 4340000;11 4340999;15.5.2017;15.5.2027
AKTON;11 4350000;11 4350999;1.11.2017;1.11.2022
AV COM;11 4360000;11 4360999;1.11.2017;1.11.2027
NETCAST DOO;11 4370000;11 4370999;1.3.2018;1.3.2023
NETCAST DOO;11 4371000;11 4371999;25.1.2018;25.1.2023
TELENOR;11 4400000;11 4409999;2.2.2011;10.2.2020
TELENOR;11 4410000;11 4410999;1.5.2012;10.2.2020
TELENOR;11 4411000;11 4411999;15.9.2012;10.2.2020
TELENOR;11 4412000;11 4412999;15.7.2013;10.2.2020
TELENOR;11 4413000;11 4413999;15.7.2013;10.2.2020
TELENOR;11 4414000;11 4414999;15.7.2013;10.2.2020
TELENOR;11 4415000;11 4415999;15.7.2013;10.2.2020
TELENOR;11 4416000;11 4416999;15.7.2013;10.2.2020
TELENOR;11 4417000;11 4417999;15.7.2013;10.2.2020
TELENOR;11 4418000;11 4418999;15.7.2013;10.2.2020
TELENOR;11 4419000;11 4419999;15.7.2013;10.2.2020
TELENOR;11 4420000;11 4420999;15.7.2013;10.2.2020
TELENOR;11 4421000;11 4421999;26.3.2013;10.2.2020
TELENOR;11 4422000;11 4422999;15.7.2013;10.2.2020
TELENOR;11 4423000;11 4423999;15.7.2013;10.2.2020
TELENOR;11 4424000;11 4424999;15.7.2013;10.2.2020
TELENOR;11 4425000;11 4425999;15.7.2013;10.2.2020
TELENOR;11 4426000;11 4426999;15.7.2013;10.2.2020
TELENOR;11 4427000;11 4427999;15.7.2013;10.2.2020
TELENOR;11 4428000;11 4428999;15.7.2013;10.2.2020
TELENOR;11 4429000;11 4429999;15.7.2013;10.2.2020
TELENOR;11 4430000;11 4430999;12.8.2013;10.2.2020
TELENOR;11 4431000;11 4431999;13.5.2013;10.2.2020
TELENOR;11 4432000;11 4432999;13.5.2013;10.2.2020
TELENOR;11 4433000;11 4433999;15.7.2013;10.2.2020
TELENOR;11 4434000;11 4444999;20.1.2014;10.2.2020
TELENOR DOO BEOGRAD;11 4445000;11 4445999;1.9.2018;10.2.2020
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;11 4500000;11 4529999;12.11.2018;12.11.2028
VIP MOBILE;11 4990000;11 4998999;6.2.2017;6.2.2027
VIP MOBILE;11 4999000;11 4999999;1.9.2012;1.9.2022
Telekom Srbija a.d., Beograd;11 6080000;11 6080999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6083000;11 6083999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6084000;11 6084999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6085000;11 6086999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6087000;11 6087999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6100000;11 6109999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6120000;11 6124999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6128000;11 6169999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6171000;11 6177999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6178000;11 6178999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6179000;11 6179999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6181000;11 6181999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6184000;11 6184999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6187000;11 6187999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6189000;11 6199999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6230000;11 6239999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6270000;11 6289999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6300000;11 6305999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6306000;11 6307999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6308000;11 6308999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6309000;11 6309999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6310000;11 6310999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6318000;11 6318999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6320000;11 6323999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6330000;11 6343999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6346000;11 6346999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6349000;11 6349999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6350000;11 6356999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6357000;11 6358999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6359000;11 6359999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6360000;11 6363999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6379000;11 6379999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6380000;11 6380999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6381000;11 6382999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6390000;11 6397999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6399000;11 6461999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6462000;11 6462999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6463000;11 6464999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6465000;11 6465999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6466000;11 6467999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6468000;11 6468999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6469000;11 6469999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6471000;11 6471999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6472000;11 6477999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6491000;11 6491999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6492000;11 6493999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6494000;11 6497999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6500000;11 6519999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6541000;11 6557999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6558000;11 6558999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6559000;11 6559999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6561000;11 6565999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6570000;11 6570999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6571000;11 6574999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6575000;11 6576999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6577000;11 6578999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6579000;11 6579999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6580000;11 6581999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6600000;11 6619999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6640000;11 6640999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6641000;11 6646999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6649000;11 6650999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6655000;11 6655999;8.1.2018;8.1.2028
Telekom Srbija a.d., Beograd;11 6656000;11 6676999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6680000;11 6699999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6710000;11 6716999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6717000;11 6719999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 6750000;11 6755999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;13 2646000;13 2646999;8.1.2018;8.1.2028
Telekom Srbija a.d., Beograd;13 2647000;13 2647999;8.1.2018;8.1.2028
Telekom Srbija a.d., Beograd;13 2648000;13 2648999;8.1.2018;8.1.2028
Telekom Srbija a.d., Beograd;13 2649000;13 2649999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;13 2655000;13 2655999;8.1.2018;8.1.2028
Telekom Srbija a.d., Beograd;13 2662000;13 2662999;8.1.2018;8.1.2028
Telekom Srbija a.d., Beograd;13 2664000;13 2664999;25.6.2018;25.6.2028
Telekom Srbija a.d., Beograd;13 2672000;13 2672999;8.1.2018;8.1.2028
Telekom Srbija a.d., Beograd;13 2673000;13 2673999;8.1.2018;8.1.2028
Telekom Srbija a.d., Beograd;13 2674000;13 2674999;8.1.2018;8.1.2028
Telekom Srbija a.d., Beograd;13 2675000;13 2675999;8.1.2018;8.1.2028
Telekom Srbija a.d., Beograd;13 2684000;13 2684999;8.1.2018;8.1.2028
Telekom Srbija a.d., Beograd;13 2685000;13 2685999;8.1.2018;8.1.2028
Telekom Srbija a.d., Beograd;13 2753000;13 2754999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;13 2755000;13 2755999;8.1.2018;8.1.2028
Telekom Srbija a.d., Beograd;13 2765000;13 2765999;8.1.2018;8.1.2028
Telekom Srbija a.d., Beograd;13 2801000;13 2801999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;13 2809000;13 2809999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;13 2820000;13 2821999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;13 2823000;13 2823999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;13 2824000;13 2826999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;13 2830000;13 2839999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;13 2846000;13 2846999;8.1.2018;8.1.2028
Telekom Srbija a.d., Beograd;13 2847000;13 2847999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;13 2848000;13 2848999;8.1.2018;8.1.2028
Telekom Srbija a.d., Beograd;13 390000;13 390999;10.6.2017;10.6.2027
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;13 400000;13 401999;1.4.2012;1.4.2022
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;13 402000;13 403999;1.12.2014;1.12.2024
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;13 404000;13 404999;1.1.2017;1.1.2027
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;13 405000;13 406999;4.12.2017;4.12.2027
ORION TELEKOM;13 410000;13 419999;6.7.2018;6.7.2028
BEOTELNET-ISP;13 420000;13 420999;1.8.2014;1.8.2024
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;13 423000;13 423999;1.10.2018;1.10.2028
MADNET;13 425000;13 425999;7.11.2016;7.11.2026
RADIJUS VEKTOR;13 430000;13 430999;1.12.2014;1.12.2019
AV COM;13 436000;13 436999;1.11.2017;1.11.2027
TELENOR;13 440000;13 440999;2.2.2011;10.2.2020
TELENOR;13 441000;13 441999;15.9.2012;10.2.2020
TELENOR DOO BEOGRAD;13 442000;13 442999;6.11.2017;10.2.2020
KABLOVSKI DISTRIBUTIVNI SISTEM SMILEY TV;13 450000;13 450999;1.5.2016;1.5.2026
VIP MOBILE;13 490000;13 498999;6.2.2017;6.2.2027
VIP MOBILE;13 499000;13 499999;1.9.2012;1.9.2022
Telekom Srbija a.d., Beograd;13 601000;13 603999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;13 615000;13 619999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;13 625000;13 627999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;13 629000;13 633999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;13 641000;13 644999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;13 646000;13 648999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;13 651000;13 652999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;13 655000;13 655999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;13 658000;13 662999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;13 664000;13 665999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;13 667000;13 669999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;13 671000;13 673999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;13 675000;13 676999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;13 681000;13 682999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;13 684000;13 686999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;13 741000;13 746999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;13 751000;13 752999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;13 755000;13 758999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;13 761000;13 761999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;13 764000;13 767999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;13 800000;13 809999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;13 820000;13 827999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;13 830000;13 839999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;13 841000;13 841999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;13 845000;13 846999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;13 851000;13 859999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;13 861000;13 867999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;13 871000;13 877999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;13 881000;13 881999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;22 2100000;22 2100999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;22 2101000;22 2101999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;22 2150000;22 2150999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;22 2152000;22 2152999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;22 2155000;22 2155999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;22 2156000;22 2156999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;22 2301000;22 2302999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;22 2340000;22 2343999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;22 2348000;22 2348999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;22 2349000;22 2349999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;22 2351000;22 2352999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;22 2353000;22 2353999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;22 2361000;22 2362999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;22 2371000;22 2371999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;22 2381000;22 2382999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;22 2391000;22 2391999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;22 2430000;22 2431999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;22 2434000;22 2434999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;22 2435000;22 2435999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;22 2436000;22 2436999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;22 2438000;22 2438999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;22 2439000;22 2439999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;22 2444000;22 2444999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;22 2451000;22 2451999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;22 2452000;22 2452999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;22 2460000;22 2461999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;22 2462000;22 2462999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;22 2464000;22 2464999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;22 2467000;22 2467999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;22 2468000;22 2468999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;22 2470000;22 2470999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;22 2473000;22 2473999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;22 2475000;22 2476999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;22 2478000;22 2478999;8.1.2018;8.1.2028
Telekom Srbija a.d., Beograd;22 2479000;22 2479999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;230 454000;230 454999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;230 458000;230 459999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;230 468000;230 469999;10.6.2017;10.6.2027
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;230 500000;230 502999;1.4.2012;1.4.2022
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;230 503000;230 505999;1.12.2014;1.12.2024
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;230 506000;230 506999;1.1.2017;1.1.2027
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;230 507000;230 507999;1.1.2017;1.1.2027
ORION TELEKOM;230 510000;230 519999;6.7.2018;6.7.2028
BEOTELNET-ISP;230 520000;230 520999;1.8.2014;1.8.2024
SAT-TRAKT;230 530000;230 530999;5.5.2014;5.5.2024
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;230 533000;230 533999;1.10.2018;1.10.2028
TELENOR;230 540000;230 540999;2.2.2011;10.2.2020
TELENOR;230 541000;230 541999;15.9.2012;10.2.2020
VICTORY MEDIA;230 550000;230 550999;1.5.2016;1.5.2026
VIP MOBILE;230 590000;230 599999;6.2.2017;6.2.2027
Telekom Srbija a.d., Beograd;230 61000;230 62999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;230 65000;230 67999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;230 70000;230 72999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;230 75000;230 75999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;230 77000;230 79999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;230 81000;230 86999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;230 88000;230 88999;10.6.2017;10.6.2027
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;24 200000;24 204999;1.3.2017;1.3.2027
ORION TELEKOM;24 210000;24 219999;6.7.2018;6.7.2028
SAT-TRAKT;24 220000;24 224999;5.5.2014;5.5.2024
SAT-TRAKT;24 225000;24 229999;2.4.2018;2.4.2028
JP Pošta Srbije Beograd - RADNA JEDINICA POŠTA NET;24 230000;24 231999;1.2.2016;1.2.2026
TELENOR;24 240000;24 240999;2.2.2011;10.2.2020
TELENOR;24 241000;24 242999;15.9.2012;10.2.2020
BEOTELNET-ISP;24 250000;24 250999;21.2.2016;21.2.2026
BAU NETWORKS;24 252000;24 252999;1.9.2017;1.9.2027
ASTRA TELEKOM;24 255000;24 257999;1.3.2018;1.3.2028
SAT-TRAKT;24 260000;24 261999;2.4.2018;2.4.2028
VIP MOBILE;24 290000;24 298999;6.2.2017;6.2.2027
VIP MOBILE;24 299000;24 299999;1.9.2012;1.9.2022
Telekom Srbija a.d., Beograd;24 4100000;24 4100999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;24 4101000;24 4101999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;24 4150000;24 4150999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;24 4155000;24 4155999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;24 4156000;24 4156999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;24 4510000;24 4510999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;24 4515000;24 4515999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;27 8388000;27 8388999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;27 8420000;27 8429999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;27 8431000;27 8435999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;27 8450000;27 8450999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;30 570000;30 570999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;30 576000;30 576999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;30 581000;30 585999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;30 588000;30 588999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;30 590000;30 591999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;30 596000;30 596999;10.6.2017;10.6.2027
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;30 800000;30 801999;1.10.2012;1.10.2022
ORION TELEKOM;30 810000;30 819999;6.7.2018;6.7.2028
BEOTELNET-ISP;30 820000;30 820999;21.2.2016;21.2.2026
JOTEL;30 825000;30 825999;15.7.2016;15.7.2026
TELENOR;30 840000;30 840999;2.2.2011;10.2.2020
TELENOR;30 841000;30 841999;15.9.2012;10.2.2020
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;30 850000;30 850999;3.1.2018;3.1.2028
KOPERNIKUS TECHNOLOGY;30 860000;30 860999;15.7.2014;15.7.2024
VIP MOBILE;30 890000;30 899999;6.2.2017;6.2.2027
Telekom Srbija a.d., Beograd;31 3100000;31 3100999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;32 5824000;32 5824999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;32 5826000;32 5826999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;32 5829000;32 5829999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;32 5845000;32 5845999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;32 5854000;32 5855999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;32 5857000;32 5858999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;32 5860000;32 5860999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;32 5862000;32 5862999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;32 5864000;32 5864999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;32 5867000;32 5867999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;32 5872000;32 5872999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;32 5873000;32 5873999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;32 5880000;32 5880999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;32 5882000;32 5882999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;32 5886000;32 5886999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;32 5895000;32 5895999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;32 601000;32 601999;10.6.2017;10.6.2027
